name,category,brand,model,description,price,currency,quantity,link,image_reference
CleanSmile Soft 300 Manual Toothbrush,MANUAL_TOOTHBRUSH,CleanSmile,Soft 300,Bàn chải lông mềm dành cho vệ sinh răng miệng hằng ngày. Đầu bàn chải nhỏ giúp dễ tiếp cận các vùng răng phía trong.,45000,VND,120,,cleansmile_soft_300.png
PureDent Compact Soft Brush,MANUAL_TOOTHBRUSH,PureDent,Compact Soft,Bàn chải thủ công có tay cầm chống trượt và lông chải mềm. Phù hợp cho người muốn làm sạch nhẹ nhàng mỗi ngày.,39000,VND,95,,puredent_compact_soft.png
SonicCare Lite E1 Electric Toothbrush,ELECTRIC_TOOTHBRUSH,SonicCare,Lite E1,"Bàn chải điện với chế độ rung nhẹ và hẹn giờ hai phút. Thiết kế đơn giản, phù hợp cho người mới dùng bàn chải điện.",890000,VND,18,,soniccare_lite_e1.png
OralWave Pro S2 Electric Toothbrush,ELECTRIC_TOOTHBRUSH,OralWave,Pro S2,Bàn chải điện có nhiều chế độ làm sạch và đầu chải thay thế. Pin sạc dùng được nhiều ngày trong điều kiện sử dụng thông thường.,1350000,VND,12,,oralwave_pro_s2.png
InterClean Size 0 Interdental Brush,INTERDENTAL_BRUSH,InterClean,Size 0,Bàn chải kẽ răng cỡ nhỏ hỗ trợ làm sạch vùng kẽ răng hẹp. Thân chải linh hoạt giúp thao tác dễ hơn ở vùng răng sau.,65000,VND,80,,interclean_size_0.png
GapCare Angle Interdental Brush,INTERDENTAL_BRUSH,GapCare,Angle 1.2,Bàn chải kẽ răng dạng góc giúp tiếp cận vùng quanh mắc cài hoặc cầu răng. Sản phẩm dùng cho chăm sóc hỗ trợ theo hướng dẫn của nha sĩ.,85000,VND,60,,gapcare_angle_12.png
FluoriDent Fresh Mint Toothpaste,TOOTHPASTE,FluoriDent,Fresh Mint,Kem đánh răng hương bạc hà hỗ trợ làm sạch mảng bám hằng ngày. Công thức có fluoride phù hợp cho chăm sóc răng miệng thường xuyên.,72000,VND,150,,fluorident_fresh_mint.png
GentleWhite Daily Toothpaste,TOOTHPASTE,GentleWhite,Daily,Kem đánh răng làm sạch nhẹ với hương bạc hà dịu. Sản phẩm hỗ trợ duy trì bề mặt răng sáng sạch khi dùng đúng cách.,95000,VND,90,,gentlewhite_daily.png
SensitiveCare Mild Toothpaste,TOOTHPASTE,SensitiveCare,Mild,Kem đánh răng dành cho người hay ê buốt nhẹ khi ăn uống lạnh. Nên dùng đều đặn và hỏi nha sĩ nếu tình trạng kéo dài.,110000,VND,75,,sensitivecare_mild.png
AquaJet Mini Water Flosser,WATER_FLOSSER,AquaJet,Mini,"Máy tăm nước cá nhân với nhiều mức áp lực. Bình chứa nhỏ gọn, phù hợp mang theo khi đi làm hoặc du lịch.",1250000,VND,10,,aquajet_mini.png
HydroSmile Home Water Flosser,WATER_FLOSSER,HydroSmile,Home H3,Máy tăm nước để bàn có bình chứa lớn và nhiều đầu phun. Phù hợp cho gia đình cần hỗ trợ làm sạch kẽ răng hằng ngày.,1680000,VND,8,,hydrosmile_home_h3.png
MediRinse Alcohol Free Mouthwash,MOUTHWASH,MediRinse,Alcohol Free,Nước súc miệng không cồn giúp làm sạch khoang miệng sau khi chải răng. Hương bạc hà nhẹ tạo cảm giác thơm mát.,88000,VND,110,,medirinse_alcohol_free.png
HerbalFresh Green Tea Mouthwash,MOUTHWASH,HerbalFresh,Green Tea,Nước súc miệng hương trà xanh dùng sau vệ sinh răng miệng. Sản phẩm hỗ trợ giảm cảm giác khó chịu do mùi trong khoang miệng.,99000,VND,85,,herbalfresh_green_tea.png
SilkLine Waxed Dental Floss,DENTAL_FLOSS,SilkLine,Waxed 50m,Chỉ nha khoa có sáp giúp trượt nhẹ qua kẽ răng. Cuộn 50 mét phù hợp dùng hằng ngày tại nhà.,59000,VND,130,,silkline_waxed_50m.png
EasyFloss Picks Mint,DENTAL_FLOSS,EasyFloss,Picks Mint,Tăm chỉ nha khoa dạng cây tiện dùng sau bữa ăn. Hương bạc hà nhẹ và hộp nhỏ dễ mang theo.,68000,VND,100,,easyfloss_picks_mint.png
FreshTongue Copper Cleaner,TONGUE_CLEANER,FreshTongue,Copper C1,Dụng cụ vệ sinh lưỡi bằng đồng với mép bo tròn. Hỗ trợ làm sạch bề mặt lưỡi như một phần của thói quen chăm sóc miệng.,120000,VND,45,,freshtongue_copper_c1.png
BrightSmile Whitening Strips 7 Days,WHITENING_PRODUCT,BrightSmile,Strips 7 Days,Miếng dán làm trắng răng dùng trong thời gian ngắn theo hướng dẫn trên bao bì. Không nên dùng khi đang đau răng hoặc có vấn đề nướu chưa được kiểm tra.,320000,VND,35,,brightsmile_strips_7_days.png
BraceCare Orthodontic Wax,ORTHODONTIC_CARE,BraceCare,Wax Mint,"Sáp nha khoa dùng để che các vị trí mắc cài gây cọ xát nhẹ. Sản phẩm nhỏ gọn, tiện mang theo khi đang chỉnh nha.",55000,VND,140,,bracecare_wax_mint.png
OrthoClean Travel Kit,ORTHODONTIC_CARE,OrthoClean,Travel Kit,"Bộ chăm sóc răng miệng cho người niềng gồm bàn chải chuyên dụng, sáp nha khoa và hộp đựng. Phù hợp sử dụng khi đi học, đi làm hoặc du lịch.",210000,VND,40,,orthoclean_travel_kit.png
SleepGuard Soft Night Guard,NIGHT_GUARD,SleepGuard,Soft Fit,Máng bảo vệ răng ban đêm loại mềm dùng để giảm ma sát giữa hai hàm. Nên hỏi nha sĩ để được tư vấn loại máng phù hợp với tình trạng răng.,450000,VND,22,,sleepguard_soft_fit.png
