name,category,description,duration_minutes,price,currency,symptoms,image_reference
Khám tổng quát và tư vấn,PREVENTIVE,"Kiểm tra tình trạng răng miệng tổng quát và tư vấn hướng chăm sóc phù hợp. Dịch vụ giúp khách hàng hiểu rõ hơn về nhu cầu vệ sinh, phục hồi hoặc theo dõi định kỳ.",30,150000,VND,kiểm tra răng miệng|hỏi về sức khỏe răng|ê buốt nhẹ|muốn tư vấn,kham_tong_quat_tu_van.png
Cạo vôi răng và đánh bóng,PREVENTIVE,Loại bỏ cao răng và mảng bám trên bề mặt răng bằng dụng cụ nha khoa. Sau đó răng được đánh bóng để bề mặt sạch và dễ chăm sóc hơn.,45,350000,VND,cao răng|hơi thở có mùi|nướu dễ chảy máu|răng xỉn màu,cao_voi_danh_bong.png
Trám răng thẩm mỹ,RESTORATIVE,Phục hồi vùng răng bị mẻ hoặc có lỗ nhỏ bằng vật liệu trám màu gần giống răng thật. Dịch vụ giúp cải thiện hình dạng răng và hỗ trợ ăn nhai thoải mái hơn.,60,500000,VND,lỗ sâu nhỏ|mẻ răng|răng nhạy cảm|đọng thức ăn,tram_rang_tham_my.png
Điều trị tủy răng hàm,ENDODONTIC,Làm sạch và xử lý phần tủy răng khi nha sĩ đánh giá cần can thiệp. Mục tiêu là giảm khó chịu và bảo tồn răng khi còn điều kiện phù hợp.,90,1800000,VND,đau răng kéo dài|đau khi nhai|ê buốt nhiều|răng đổi màu,dieu_tri_tuy_rang_ham.png
Điều trị viêm nướu,PERIODONTAL,Làm sạch vùng nướu và hướng dẫn chăm sóc để cải thiện tình trạng nướu nhạy cảm. Khách hàng nên được thăm khám để xác định mức độ phù hợp của phương án điều trị.,60,700000,VND,nướu sưng đỏ|chảy máu khi chải răng|hôi miệng|tụt nướu nhẹ,dieu_tri_viem_nuou.png
Niềng răng mắc cài kim loại,ORTHODONTIC,Chỉnh nha bằng mắc cài kim loại nhằm hỗ trợ sắp xếp răng và khớp cắn theo kế hoạch của bác sĩ. Thời gian điều trị phụ thuộc vào tình trạng từng người.,60,28000000,VND,răng chen chúc|răng thưa|khớp cắn lệch|muốn chỉnh nha,nieng_rang_mac_cai_kim_loai.png
Niềng răng trong suốt,ORTHODONTIC,Chỉnh nha bằng khay trong suốt có thể tháo lắp theo chỉ định. Phù hợp với một số trường hợp cần tính thẩm mỹ cao và tuân thủ lịch đeo khay.,60,65000000,VND,răng lệch nhẹ|răng thưa|muốn niềng kín đáo|khó vệ sinh kẽ răng,nieng_rang_trong_suot.png
Cấy ghép Implant đơn lẻ,IMPLANT,"Thay thế một răng mất bằng trụ Implant và phục hình phía trên sau khi đủ điều kiện. Cần thăm khám, chụp phim và đánh giá sức khỏe răng miệng trước khi thực hiện.",120,18000000,VND,mất một răng|khó ăn nhai|khoảng trống mất răng|muốn phục hình cố định,implant_don_le.png
Nhổ răng khôn,ORAL_SURGERY,Loại bỏ răng khôn khi nha sĩ đánh giá răng gây khó vệ sinh hoặc có nguy cơ ảnh hưởng răng kế cận. Quy trình cần được thăm khám và chụp phim trước khi quyết định.,60,2500000,VND,đau vùng răng khôn|sưng nướu phía sau|kẹt thức ăn|khó há miệng nhẹ,nho_rang_khon.png
Tẩy trắng răng tại phòng khám,COSMETIC,Làm sáng màu răng bằng vật liệu chuyên dụng trong điều kiện kiểm soát tại phòng khám. Mức độ thay đổi màu răng khác nhau tùy cơ địa và thói quen ăn uống.,90,2500000,VND,răng ố vàng|răng xỉn màu|muốn cải thiện nụ cười|răng nhiễm màu nhẹ,tay_trang_rang_phong_kham.png
Mặt dán sứ Veneer,COSMETIC,"Dán lớp sứ mỏng lên mặt ngoài răng để cải thiện màu sắc và hình dáng răng trong trường hợp phù hợp. Cần được bác sĩ đánh giá men răng, khớp cắn và kỳ vọng thẩm mỹ.",90,8000000,VND,răng thưa nhẹ|răng đổi màu|răng mẻ nhỏ|muốn cải thiện thẩm mỹ,mat_dan_su_veneer.png
Chăm sóc răng trẻ em,PEDIATRIC,Khám và hướng dẫn vệ sinh răng miệng cho trẻ theo độ tuổi. Dịch vụ giúp phụ huynh theo dõi thói quen chải răng và lịch kiểm tra định kỳ.,30,200000,VND,trẻ đau răng nhẹ|trẻ sợ đánh răng|răng sữa lung lay|phụ huynh cần tư vấn,cham_soc_rang_tre_em.png
Trám bít hố rãnh cho trẻ,PEDIATRIC,Phủ vật liệu bảo vệ lên các rãnh sâu trên mặt nhai răng hàm của trẻ khi phù hợp. Dịch vụ hỗ trợ việc vệ sinh mặt nhai dễ hơn nhưng vẫn cần chải răng đúng cách.,30,300000,VND,rãnh răng hàm sâu|thức ăn dễ mắc|trẻ khó chải răng hàm|muốn phòng ngừa sâu răng,tram_bit_ho_ranh_tre_em.png
Xử lý đau răng khẩn cấp,EMERGENCY,"Thăm khám nhanh để xác định nguyên nhân có thể gây đau và đưa ra hướng xử trí ban đầu an toàn. Nếu đau dữ dội, sưng mặt hoặc sốt, khách hàng nên liên hệ ngay với nha sĩ hoặc cơ sở y tế.",45,600000,VND,đau răng dữ dội|đau về đêm|khó nhai|sưng nướu,xu_ly_dau_rang_khan_cap.png
Cấp cứu chảy máu sau nhổ răng,EMERGENCY,"Đánh giá tình trạng chảy máu sau nhổ răng và hỗ trợ cầm máu theo hướng dẫn chuyên môn. Nếu chảy máu nhiều hoặc kéo dài, cần liên hệ phòng khám hoặc cơ sở y tế ngay.",45,700000,VND,chảy máu kéo dài|máu thấm gạc liên tục|đau sau nhổ răng|lo lắng sau thủ thuật,cap_cuu_chay_mau_sau_nho_rang.png
